City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Lobito,AO,2020-11-09 03:08:36,-12.35,13.55,76.55,79,96,5.19
70,Sydney Mines,CA,2020-11-09 03:08:36,46.24,-60.22,33.01,88,70,4.54
71,Saint George,US,2020-11-09 03:05:04,37.1,-113.58,39.99,86,75,5.82
72,Chokurdakh,RU,2020-11-09 03:08:36,70.63,147.92,-12.73,91,99,3.87
73,Saskylakh,RU,2020-11-09 03:08:37,71.92,114.08,-4.85,86,93,16.69
74,Los Llanos De Aridane,ES,2020-11-09 03:08:37,28.66,-17.92,66.2,68,20,8.05
75,Banda Aceh,ID,2020-11-09 03:08:37,5.56,95.32,83.12,71,85,1.05
76,Salalah,OM,2020-11-09 03:04:01,17.02,54.09,73.4,56,0,3.36
77,Bethel,US,2020-11-09 03:08:37,41.37,-73.41,53.01,81,1,3.36
78,Oriximina,BR,2020-11-09 03:08:38,-1.77,-55.87,79.16,81,83,2.48
79,Coquimbo,CL,2020-11-09 03:08:38,-29.95,-71.34,55.4,87,0,3.47
80,Gazojak,TM,2020-11-09 03:08:38,41.19,61.4,37.45,79,0,0.67
81,Faanui,PF,2020-11-09 03:08:38,-16.48,-151.75,78.62,77,92,15.61
82,Isangel,VU,2020-11-09 03:08:38,-19.55,169.27,80.6,78,90,9.17
83,Tabuk,PH,2020-11-09 03:08:39,17.42,121.44,80.96,80,100,7.83
84,Tevaitoa,PF,2020-11-09 03:08:39,-16.78,-151.5,78.85,80,92,18.28
85,Guerrero Negro,MX,2020-11-09 03:08:39,27.98,-114.06,64.74,57,79,13.51
86,Westport,US,2020-11-09 03:08:39,41.14,-73.36,54.0,76,1,2.64
87,Te Anau,NZ,2020-11-09 03:08:39,-45.42,167.72,60.89,51,49,5.57
88,Sorland,NO,2020-11-09 03:08:40,67.67,12.69,42.87,72,72,27.04
89,Sabang,ID,2020-11-09 03:08:40,5.89,95.32,81.25,74,100,0.72
90,Albany,US,2020-11-09 03:05:49,42.6,-73.97,52.0,93,1,2.19
91,Nome,US,2020-11-09 03:04:03,64.5,-165.41,30.2,80,1,4.92
92,Jurado,CO,2020-11-09 03:08:40,7.11,-77.76,75.54,83,100,4.29
93,Cassilandia,BR,2020-11-09 03:08:40,-19.11,-51.73,77.25,56,9,3.0
